

Measurement ID;3541
Battery name;NCR18650PF_SN002
Battery Name;NCR
Circuit;Circ006
Program;418 - Pan_5pulse_EISSOC
Start Time;4/27/2017 8:51:52 AM
End Time;4/29/2017 3:04:43 PM
Test section;EIS00014
Comment;25degC EIS vs SOC 6kHz to 1mHz
OrderNo;
Producer; Panasonic
Type; NCR
Nominal Voltage; 3.7
Nominal Current; 0
Nominal Capacity; 2.9
Cells; 1
Maximum Voltage; 4.25
Gassing Voltage; 4.3
Break Voltage; 0
Charge Factor; 0
Impedance; 0
Cold Cranking Current; 15
Energy Density; 0
Comment;



Time Stamp;Step;Status;Prog Time;Step Time;Cycle;Cycle Level;Procedure;Voltage;Current;AhAccu;Energy;StartFreq;EndFreq;SetFreq;AAcMax;VAcMin;VAcMax;mvIdeal;Go;Status;U1;Zreal1;Zimg1;ActFreq;EisError;AACStart;MinIntervalTime;CountOfPeriods;UIdeal;AStart;MinDuration;MinPeriods;RemTime;VRelativ;AAmplitude;Betrag;Phase;ChamberT;ChamberSP;Temp45;
;;;;;;;;[V];[A];[Ah];[Wh];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[ChamberT];[ChamberSP];[C1];
4/29/2017 10:03:33 AM;53;EIS;49:11:32.809;00:00:21.678;6;1;Pan_5pulse_EISSOC;3.21053;0.00000;-2.75501;;0.00100;6000.00000;6000.00000;2.00000;-2.00000;20.00000;10.00000;1.00000;16.00000;3.21168;22.69039;9.41118;6000.00000;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.99897;0.40667;24.56469;22.52697;25.00000;25.00000;26.64191;
4/29/2017 10:03:44 AM;53;EIS;49:11:43.995;00:00:32.864;6;1;Pan_5pulse_EISSOC;3.21053;0.00000;-2.75501;;0.00100;6000.00000;4499.36526;2.00000;-2.00000;20.00000;10.00000;2.00000;16.00000;3.21210;22.36037;7.11663;4571.42871;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.95388;0.40650;23.46556;17.65470;25.00000;25.00000;26.85486;
4/29/2017 10:03:55 AM;53;EIS;49:11:54.886;00:00:43.755;6;1;Pan_5pulse_EISSOC;3.21053;0.00000;-2.75501;;0.00100;6000.00000;3374.04795;2.00000;-2.00000;20.00000;10.00000;3.00000;16.00000;3.21214;22.18149;5.11585;3428.57153;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.96905;0.42570;22.76379;12.98736;25.00000;25.00000;26.85486;
4/29/2017 10:04:06 AM;53;EIS;49:12:05.722;00:00:54.591;6;1;Pan_5pulse_EISSOC;3.21053;0.00000;-2.75501;;0.00100;6000.00000;2530.17902;2.00000;-2.00000;20.00000;10.00000;4.00000;16.00000;3.20911;22.16510;3.41029;2526.31567;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.98445;0.43898;22.42592;8.74684;25.00000;25.00000;26.86607;
4/29/2017 10:04:17 AM;53;EIS;49:12:16.645;00:01:05.514;6;1;Pan_5pulse_EISSOC;3.21053;0.00000;-2.75501;;0.00100;6000.00000;1897.36660;2.00000;-2.00000;20.00000;10.00000;5.00000;16.00000;3.21222;22.27791;2.11970;1882.35291;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.99746;0.44572;22.37853;5.43521;25.00000;25.00000;26.64191;
4/29/2017 10:04:28 AM;53;EIS;49:12:28.124;00:01:16.993;6;1;Pan_5pulse_EISSOC;3.21053;0.00000;-2.75501;;0.00100;6000.00000;1422.82422;2.00000;-2.00000;20.00000;10.00000;6.00000;16.00000;3.21684;22.46208;1.17974;1432.83582;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00482;0.44672;22.49304;3.00649;25.00000;25.00000;26.86607;
4/29/2017 10:04:39 AM;53;EIS;49:12:39.155;00:01:28.024;6;1;Pan_5pulse_EISSOC;3.21053;0.00000;-2.75501;;0.00100;6000.00000;1066.96765;2.00000;-2.00000;20.00000;10.00000;7.00000;16.00000;3.20729;22.71692;0.38561;1066.66663;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00994;0.44451;22.72019;0.97248;25.00000;25.00000;26.86607;
4/29/2017 10:04:51 AM;53;EIS;49:12:50.283;00:01:39.152;6;1;Pan_5pulse_EISSOC;3.21053;0.00000;-2.75501;;0.00100;6000.00000;800.11286;2.00000;-2.00000;20.00000;10.00000;8.00000;16.00000;3.21741;23.00678;-0.21486;800.00000;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00994;0.44010;23.00778;-0.53508;25.00000;25.00000;26.65312;
4/29/2017 10:05:02 AM;53;EIS;49:13:01.525;00:01:50.394;6;1;Pan_5pulse_EISSOC;3.21053;0.00000;-2.75501;;0.00100;6000.00000;600.00000;2.00000;-2.00000;20.00000;10.00000;9.00000;16.00000;3.21745;23.32248;-0.68692;600.00000;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.01399;0.43458;23.33260;-1.68705;25.00000;25.00000;26.86607;
