

Measurement ID;3541
Battery name;NCR18650PF_SN002
Battery Name;NCR
Circuit;Circ006
Program;418 - Pan_5pulse_EISSOC
Start Time;4/27/2017 8:51:52 AM
End Time;4/29/2017 3:04:43 PM
Test section;EIS00011
Comment;25degC EIS vs SOC 6kHz to 1mHz
OrderNo;
Producer; Panasonic
Type; NCR
Nominal Voltage; 3.7
Nominal Current; 0
Nominal Capacity; 2.9
Cells; 1
Maximum Voltage; 4.25
Gassing Voltage; 4.3
Break Voltage; 0
Charge Factor; 0
Impedance; 0
Cold Cranking Current; 15
Energy Density; 0
Comment;



Time Stamp;Step;Status;Prog Time;Step Time;Cycle;Cycle Level;Procedure;Voltage;Current;AhAccu;Energy;StartFreq;EndFreq;SetFreq;AAcMax;VAcMin;VAcMax;mvIdeal;Go;Status;U1;Zreal1;Zimg1;ActFreq;EisError;AACStart;MinIntervalTime;CountOfPeriods;UIdeal;AStart;MinDuration;MinPeriods;RemTime;VRelativ;AAmplitude;Betrag;Phase;ChamberT;ChamberSP;Temp45;
;;;;;;;;[V];[A];[Ah];[Wh];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[ChamberT];[ChamberSP];[C1];
4/28/2017 11:03:22 PM;53;EIS;38:11:22.481;00:00:21.705;3;1;Pan_5pulse_EISSOC;3.45244;0.00000;-2.32001;;0.00100;6000.00000;6000.00000;2.00000;-2.00000;20.00000;10.00000;1.00000;16.00000;3.45441;22.11047;9.29271;6000.00000;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.99893;0.41650;23.98390;22.79630;25.00000;25.00000;26.86607;
4/28/2017 11:03:33 PM;53;EIS;38:11:33.249;00:00:32.473;3;1;Pan_5pulse_EISSOC;3.45244;0.00000;-2.32001;;0.00100;6000.00000;4499.36526;2.00000;-2.00000;20.00000;10.00000;2.00000;16.00000;3.45437;21.76048;7.04592;4571.42871;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.95233;0.41636;22.87276;17.94166;25.00000;25.00000;26.85486;
4/28/2017 11:03:44 PM;53;EIS;38:11:44.126;00:00:43.350;3;1;Pan_5pulse_EISSOC;3.45244;0.00000;-2.32001;;0.00100;6000.00000;3374.04795;2.00000;-2.00000;20.00000;10.00000;3.00000;16.00000;3.45281;21.56265;5.07826;3428.57153;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.96747;0.43673;22.15258;13.25234;25.00000;25.00000;26.85486;
4/28/2017 11:03:55 PM;53;EIS;38:11:55.015;00:00:54.239;3;1;Pan_5pulse_EISSOC;3.45244;0.00000;-2.32001;;0.00100;6000.00000;2530.17902;2.00000;-2.00000;20.00000;10.00000;4.00000;16.00000;3.45165;21.52727;3.39770;2526.31567;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.98304;0.45106;21.79375;8.96915;25.00000;25.00000;26.85486;
4/28/2017 11:04:06 PM;53;EIS;38:12:05.917;00:01:05.141;3;1;Pan_5pulse_EISSOC;3.45244;0.00000;-2.32001;;0.00100;6000.00000;1897.36660;2.00000;-2.00000;20.00000;10.00000;5.00000;16.00000;3.45677;21.62571;2.12203;1882.35291;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.99666;0.45867;21.72958;5.60422;25.00000;25.00000;26.85486;
4/28/2017 11:04:18 PM;53;EIS;38:12:17.739;00:01:16.963;3;1;Pan_5pulse_EISSOC;3.45244;0.00000;-2.32001;;0.00100;6000.00000;1422.82422;2.00000;-2.00000;20.00000;10.00000;6.00000;16.00000;3.45445;21.79898;1.19150;1432.83582;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00444;0.46009;21.83152;3.12860;25.00000;25.00000;26.85486;
4/28/2017 11:04:29 PM;53;EIS;38:12:28.817;00:01:28.041;3;1;Pan_5pulse_EISSOC;3.45244;0.00000;-2.32001;;0.00100;6000.00000;1066.96765;2.00000;-2.00000;20.00000;10.00000;7.00000;16.00000;3.44820;22.04474;0.40503;1066.66663;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00975;0.45797;22.04846;1.05259;25.00000;25.00000;26.85486;
4/28/2017 11:04:40 PM;53;EIS;38:12:39.932;00:01:39.156;3;1;Pan_5pulse_EISSOC;3.45244;0.00000;-2.32001;;0.00100;6000.00000;800.11286;2.00000;-2.00000;20.00000;10.00000;8.00000;16.00000;3.45449;22.32691;-0.19149;800.00000;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.01255;0.45350;22.32773;-0.49140;25.00000;25.00000;26.64191;
4/28/2017 11:04:51 PM;53;EIS;38:12:51.136;00:01:50.360;3;1;Pan_5pulse_EISSOC;3.45244;0.00000;-2.32001;;0.00100;6000.00000;600.00000;2.00000;-2.00000;20.00000;10.00000;9.00000;16.00000;3.44994;22.63768;-0.65932;600.00000;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.01426;0.44785;22.64728;-1.66826;25.00000;25.00000;26.64191;
