

Measurement ID;3623
Battery name;NCR18650PF_SN002
Battery Name;NCR
Circuit;Circ006
Program;458 - Pan_5pulse_EIS_0dC
Start Time;5/22/2017 8:47:26 AM
End Time;5/30/2017 7:42:20 AM
Test section;EIS00003
Comment;0degC EIS vs SOC
OrderNo;
Producer; Panasonic
Type; NCR
Nominal Voltage; 3.7
Nominal Current; 0
Nominal Capacity; 2.9
Cells; 1
Maximum Voltage; 4.25
Gassing Voltage; 4.3
Break Voltage; 0
Charge Factor; 0
Impedance; 0
Cold Cranking Current; 15
Energy Density; 0
Comment;



Time Stamp;Step;Status;Prog Time;Step Time;Cycle;Cycle Level;Procedure;Voltage;Current;AhAccu;Energy;StartFreq;EndFreq;SetFreq;AAcMax;VAcMin;VAcMax;mvIdeal;Go;Status;U1;Zreal1;Zimg1;ActFreq;EisError;AACStart;MinIntervalTime;CountOfPeriods;UIdeal;AStart;MinDuration;MinPeriods;RemTime;VRelativ;AAmplitude;Betrag;Phase;ChamberT;ChamberSP;Temp45;
;;;;;;;;[V];[A];[Ah];[Wh];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[ChamberT];[ChamberSP];[C1];
5/22/2017 6:38:03 PM;51;EIS;09:50:30.922;00:00:21.291;1;1;Pan_5pulse_EIS_0dC;3.99161;0.00000;-0.29001;;0.00100;6000.00000;6000.00000;2.00000;-2.00000;20.00000;10.00000;1.00000;16.00000;3.99353;23.74715;7.74977;6000.00000;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.99368;0.39779;24.97972;18.07384;0.00000;0.00000;1.93902;
5/22/2017 6:38:14 PM;51;EIS;09:50:41.747;00:00:32.116;1;1;Pan_5pulse_EIS_0dC;3.99161;0.00000;-0.29001;;0.00100;6000.00000;4499.36526;2.00000;-2.00000;20.00000;10.00000;2.00000;16.00000;3.99255;23.45218;5.65078;4571.42871;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.96440;0.39978;24.12336;13.54714;0.00000;0.00000;1.93902;
5/22/2017 6:38:25 PM;51;EIS;09:50:52.422;00:00:42.791;1;1;Pan_5pulse_EIS_0dC;3.99161;0.00000;-0.29001;;0.00100;6000.00000;3374.04795;2.00000;-2.00000;20.00000;10.00000;3.00000;16.00000;3.99568;23.32902;3.75039;3428.57153;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.97844;0.41409;23.62856;9.13276;0.00000;0.00000;1.93902;
5/22/2017 6:38:36 PM;51;EIS;09:51:03.133;00:00:53.502;1;1;Pan_5pulse_EIS_0dC;3.99161;0.00000;-0.29001;;0.00100;6000.00000;2530.17902;2.00000;-2.00000;20.00000;10.00000;4.00000;16.00000;3.99449;23.39729;2.05149;2526.31567;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.99337;0.42294;23.48706;5.01090;0.00000;0.00000;1.93902;
5/22/2017 6:38:46 PM;51;EIS;09:51:13.940;00:01:04.309;1;1;Pan_5pulse_EIS_0dC;3.99161;0.00000;-0.29001;;0.00100;6000.00000;1897.36660;2.00000;-2.00000;20.00000;10.00000;5.00000;16.00000;3.99704;23.63195;0.69091;1882.35291;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00619;0.42560;23.64205;1.67464;0.00000;0.00000;1.93902;
5/22/2017 6:38:57 PM;51;EIS;09:51:24.768;00:01:15.137;1;1;Pan_5pulse_EIS_0dC;3.99161;0.00000;-0.29001;;0.00100;6000.00000;1422.82422;2.00000;-2.00000;20.00000;10.00000;6.00000;16.00000;3.99361;23.96799;-0.37191;1432.83582;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.01365;0.42287;23.97087;-0.88898;0.00000;0.00000;1.93902;
5/22/2017 6:39:08 PM;51;EIS;09:51:35.617;00:01:25.986;1;1;Pan_5pulse_EIS_0dC;3.99161;0.00000;-0.29001;;0.00100;6000.00000;1066.96765;2.00000;-2.00000;20.00000;10.00000;7.00000;16.00000;3.99922;24.43595;-1.35038;1066.66663;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.02071;0.41707;24.47324;-3.16305;0.00000;0.00000;1.92781;
5/22/2017 6:39:19 PM;51;EIS;09:51:46.539;00:01:36.908;1;1;Pan_5pulse_EIS_0dC;3.99161;0.00000;-0.29001;;0.00100;6000.00000;800.11286;2.00000;-2.00000;20.00000;10.00000;8.00000;16.00000;3.99366;24.98805;-2.17436;800.00000;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.02483;0.40858;25.08247;-4.97312;0.00000;0.00000;1.92781;
5/22/2017 6:39:30 PM;51;EIS;09:51:57.993;00:01:48.362;1;1;Pan_5pulse_EIS_0dC;3.99161;0.00000;-0.29001;;0.00100;6000.00000;600.00000;2.00000;-2.00000;20.00000;10.00000;9.00000;16.00000;3.99368;25.62619;-2.90429;600.00000;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.02813;0.39865;25.79024;-6.46591;0.00000;0.00000;1.93902;
