

Measurement ID;3623
Battery name;NCR18650PF_SN002
Battery Name;NCR
Circuit;Circ006
Program;458 - Pan_5pulse_EIS_0dC
Start Time;5/22/2017 8:47:26 AM
End Time;5/30/2017 7:42:20 AM
Test section;EIS00004
Comment;0degC EIS vs SOC
OrderNo;
Producer; Panasonic
Type; NCR
Nominal Voltage; 3.7
Nominal Current; 0
Nominal Capacity; 2.9
Cells; 1
Maximum Voltage; 4.25
Gassing Voltage; 4.3
Break Voltage; 0
Charge Factor; 0
Impedance; 0
Cold Cranking Current; 15
Energy Density; 0
Comment;



Time Stamp;Step;Status;Prog Time;Step Time;Cycle;Cycle Level;Procedure;Voltage;Current;AhAccu;Energy;StartFreq;EndFreq;SetFreq;AAcMax;VAcMin;VAcMax;mvIdeal;Go;Status;U1;Zreal1;Zimg1;ActFreq;EisError;AACStart;MinIntervalTime;CountOfPeriods;UIdeal;AStart;MinDuration;MinPeriods;RemTime;VRelativ;AAmplitude;Betrag;Phase;ChamberT;ChamberSP;Temp45;
;;;;;;;;[V];[A];[Ah];[Wh];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[ChamberT];[ChamberSP];[C1];
5/22/2017 10:28:06 PM;51;EIS;13:40:33.779;00:00:21.325;2;1;Pan_5pulse_EIS_0dC;3.88931;0.00000;-0.58002;;0.00100;6000.00000;6000.00000;2.00000;-2.00000;20.00000;10.00000;1.00000;16.00000;3.89142;23.84316;7.84450;6000.00000;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.99274;0.39551;25.10045;18.21143;0.00000;0.00000;2.11835;
5/22/2017 10:28:17 PM;51;EIS;13:40:44.597;00:00:32.143;2;1;Pan_5pulse_EIS_0dC;3.88931;0.00000;-0.58002;;0.00100;6000.00000;4499.36526;2.00000;-2.00000;20.00000;10.00000;2.00000;16.00000;3.89151;23.54962;5.73064;4571.42871;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.96422;0.39783;24.23685;13.67673;0.00000;0.00000;2.12956;
5/22/2017 10:28:28 PM;51;EIS;13:40:55.239;00:00:42.785;2;1;Pan_5pulse_EIS_0dC;3.88931;0.00000;-0.58002;;0.00100;6000.00000;3374.04795;2.00000;-2.00000;20.00000;10.00000;3.00000;16.00000;3.89157;23.42544;3.82116;3428.57153;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.97833;0.41219;23.73505;9.26449;0.00000;0.00000;2.12956;
5/22/2017 10:28:39 PM;51;EIS;13:41:05.927;00:00:53.473;2;1;Pan_5pulse_EIS_0dC;3.88995;0.00000;-0.58002;;0.00100;6000.00000;2530.17902;2.00000;-2.00000;20.00000;10.00000;4.00000;16.00000;3.89164;23.49385;2.11869;2526.31567;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.99313;0.42101;23.58919;5.15303;0.00000;0.00000;2.12956;
5/22/2017 10:28:49 PM;51;EIS;13:41:16.681;00:01:04.227;2;1;Pan_5pulse_EIS_0dC;3.88995;0.00000;-0.58002;;0.00100;6000.00000;1897.36660;2.00000;-2.00000;20.00000;10.00000;5.00000;16.00000;3.89169;23.72496;0.76021;1882.35291;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00588;0.42376;23.73714;1.83529;0.00000;0.00000;2.12956;
5/22/2017 10:29:00 PM;51;EIS;13:41:27.786;00:01:15.332;2;1;Pan_5pulse_EIS_0dC;3.88995;0.00000;-0.58002;;0.00100;6000.00000;1422.82422;2.00000;-2.00000;20.00000;10.00000;6.00000;16.00000;3.88741;24.05608;-0.29661;1432.83582;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.01329;0.42119;24.05791;-0.70641;0.00000;0.00000;2.12956;
5/22/2017 10:29:11 PM;51;EIS;13:41:38.597;00:01:26.143;2;1;Pan_5pulse_EIS_0dC;3.88995;0.00000;-0.58002;;0.00100;6000.00000;1066.96765;2.00000;-2.00000;20.00000;10.00000;7.00000;16.00000;3.88701;24.51600;-1.26453;1066.66663;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.02022;0.41559;24.54859;-2.95268;0.00000;0.00000;2.12956;
5/22/2017 10:29:22 PM;51;EIS;13:41:49.487;00:01:37.033;2;1;Pan_5pulse_EIS_0dC;3.88995;0.00000;-0.58002;;0.00100;6000.00000;800.11286;2.00000;-2.00000;20.00000;10.00000;8.00000;16.00000;3.88431;25.05889;-2.07632;800.00000;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.02022;0.40733;25.14476;-4.73657;0.00000;0.00000;2.12956;
5/22/2017 10:29:33 PM;51;EIS;13:42:00.576;00:01:48.122;2;1;Pan_5pulse_EIS_0dC;3.88995;0.00000;-0.58002;;0.00100;6000.00000;600.00000;2.00000;-2.00000;20.00000;10.00000;9.00000;16.00000;3.89192;25.68308;-2.79062;600.00000;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.02729;0.39765;25.83425;-6.20120;0.00000;0.00000;2.14077;
