

Measurement ID;3576
Battery name;NCR18650PF_SN002
Battery Name;NCR
Circuit;Circ006
Program;418 - Pan_5pulse_EISSOC
Start Time;5/4/2017 8:18:56 AM
End Time;5/6/2017 11:56:52 AM
Test section;EIS00013
Comment;10degC EIS vs SOC 6kHz to 1mHz
OrderNo;
Producer; Panasonic
Type; NCR
Nominal Voltage; 3.7
Nominal Current; 0
Nominal Capacity; 2.9
Cells; 1
Maximum Voltage; 4.25
Gassing Voltage; 4.3
Break Voltage; 0
Charge Factor; 0
Impedance; 0
Cold Cranking Current; 15
Energy Density; 0
Comment;



Time Stamp;Step;Status;Prog Time;Step Time;Cycle;Cycle Level;Procedure;Voltage;Current;AhAccu;Energy;StartFreq;EndFreq;SetFreq;AAcMax;VAcMin;VAcMax;mvIdeal;Go;Status;U1;Zreal1;Zimg1;ActFreq;EisError;AACStart;MinIntervalTime;CountOfPeriods;UIdeal;AStart;MinDuration;MinPeriods;RemTime;VRelativ;AAmplitude;Betrag;Phase;ChamberT;ChamberSP;Temp45;
;;;;;;;;[V];[A];[Ah];[Wh];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[ChamberT];[ChamberSP];[C1];
5/6/2017 6:50:19 AM;53;EIS;46:31:13.451;00:00:21.685;5;1;Pan_5pulse_EISSOC;3.32763;0.00000;-2.61000;;0.00100;6000.00000;6000.00000;2.00000;-2.00000;20.00000;10.00000;1.00000;16.00000;3.32803;23.71790;8.30764;6000.00000;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.99720;0.39680;25.13077;19.30376;0.00000;0.00000;12.40748;
5/6/2017 6:50:30 AM;53;EIS;46:31:24.994;00:00:33.228;5;1;Pan_5pulse_EISSOC;3.32763;0.00000;-2.61000;;0.00100;6000.00000;4499.36526;2.00000;-2.00000;20.00000;10.00000;2.00000;16.00000;3.32918;23.44352;6.14570;4571.42871;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.96305;0.39737;24.23569;14.68950;0.00000;0.00000;12.19453;
5/6/2017 6:50:42 AM;53;EIS;46:31:36.928;00:00:45.162;5;1;Pan_5pulse_EISSOC;3.32763;0.00000;-2.61000;;0.00100;6000.00000;3374.04795;2.00000;-2.00000;20.00000;10.00000;3.00000;16.00000;3.33081;23.32993;4.23011;3428.57153;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.97735;0.41220;23.71032;10.27703;0.00000;0.00000;12.20574;
5/6/2017 6:50:54 AM;53;EIS;46:31:48.813;00:00:57.047;5;1;Pan_5pulse_EISSOC;3.32763;0.00000;-2.61000;;0.00100;6000.00000;2530.17902;2.00000;-2.00000;20.00000;10.00000;4.00000;16.00000;3.33190;23.38892;2.55990;2526.31567;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.99158;0.42143;23.52859;6.24611;0.00000;0.00000;12.40748;
5/6/2017 6:51:05 AM;53;EIS;46:31:59.773;00:01:08.007;5;1;Pan_5pulse_EISSOC;3.32763;0.00000;-2.61000;;0.00100;6000.00000;1897.36660;2.00000;-2.00000;20.00000;10.00000;5.00000;16.00000;3.32681;23.59625;1.26450;1882.35291;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00393;0.42485;23.63011;3.06748;0.00000;0.00000;12.40748;
5/6/2017 6:51:16 AM;53;EIS;46:32:10.804;00:01:19.038;5;1;Pan_5pulse_EISSOC;3.32763;0.00000;-2.61000;;0.00100;6000.00000;1422.82422;2.00000;-2.00000;20.00000;10.00000;6.00000;16.00000;3.32434;23.88328;0.29219;1432.83582;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.01053;0.42308;23.88507;0.70092;0.00000;0.00000;12.20574;
5/6/2017 6:51:27 AM;53;EIS;46:32:21.766;00:01:30.000;5;1;Pan_5pulse_EISSOC;3.32763;0.00000;-2.61000;;0.00100;6000.00000;1066.96765;2.00000;-2.00000;20.00000;10.00000;7.00000;16.00000;3.32946;24.27121;-0.55914;1066.66663;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.01620;0.41857;24.27765;-1.31971;0.00000;0.00000;12.20574;
5/6/2017 6:51:38 AM;53;EIS;46:32:32.864;00:01:41.098;5;1;Pan_5pulse_EISSOC;3.32763;0.00000;-2.61000;;0.00100;6000.00000;800.11286;2.00000;-2.00000;20.00000;10.00000;8.00000;16.00000;3.32196;24.71397;-1.23179;800.00000;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.01920;0.41189;24.74465;-2.85337;0.00000;0.00000;12.40748;
5/6/2017 6:51:50 AM;53;EIS;46:32:44.245;00:01:52.479;5;1;Pan_5pulse_EISSOC;3.32763;0.00000;-2.61000;;0.00100;6000.00000;600.00000;2.00000;-2.00000;20.00000;10.00000;9.00000;16.00000;3.33785;25.20609;-1.78266;600.00000;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.02110;0.40409;25.26905;-4.04541;0.00000;0.00000;12.41869;
5/6/2017 6:52:02 AM;53;EIS;46:32:56.167;00:02:04.401;5;1;Pan_5pulse_EISSOC;3.32763;0.00000;-2.61000;;0.00100;6000.00000;449.93653;2.00000;-2.00000;20.00000;10.00000;10.00000;16.00000;3.32324;25.73975;-2.23561;450.70422;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.02237;0.39571;25.83665;-4.96393;0.00000;0.00000;12.41869;
5/6/2017 6:52:13 AM;53;EIS;46:33:07.976;00:02:16.210;5;1;Pan_5pulse_EISSOC;3.32763;0.00000;-2.61000;;0.00100;6000.00000;337.40480;2.00000;-2.00000;20.00000;10.00000;11.00000;16.00000;3.33866;26.32061;-2.62276;336.84210;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.02360;0.38698;26.45096;-5.69055;0.00000;0.00000;12.40748;
