

Measurement ID;3576
Battery name;NCR18650PF_SN002
Battery Name;NCR
Circuit;Circ006
Program;418 - Pan_5pulse_EISSOC
Start Time;5/4/2017 8:18:56 AM
End Time;5/6/2017 11:56:52 AM
Test section;EIS00003
Comment;10degC EIS vs SOC 6kHz to 1mHz
OrderNo;
Producer; Panasonic
Type; NCR
Nominal Voltage; 3.7
Nominal Current; 0
Nominal Capacity; 2.9
Cells; 1
Maximum Voltage; 4.25
Gassing Voltage; 4.3
Break Voltage; 0
Charge Factor; 0
Impedance; 0
Cold Cranking Current; 15
Energy Density; 0
Comment;



Time Stamp;Step;Status;Prog Time;Step Time;Cycle;Cycle Level;Procedure;Voltage;Current;AhAccu;Energy;StartFreq;EndFreq;SetFreq;AAcMax;VAcMin;VAcMax;mvIdeal;Go;Status;U1;Zreal1;Zimg1;ActFreq;EisError;AACStart;MinIntervalTime;CountOfPeriods;UIdeal;AStart;MinDuration;MinPeriods;RemTime;VRelativ;AAmplitude;Betrag;Phase;ChamberT;ChamberSP;Temp45;
;;;;;;;;[V];[A];[Ah];[Wh];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[ChamberT];[ChamberSP];[C1];
5/4/2017 5:09:49 PM;46;EIS;08:50:45.419;00:00:21.909;1;1;Pan_5pulse_EISSOC;4.05273;0.00000;-0.29002;;0.00100;6000.00000;6000.00000;2.00000;-2.00000;20.00000;10.00000;1.00000;16.00000;4.05596;22.06337;7.99626;6000.00000;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.99771;0.42514;23.46769;19.92164;0.00000;0.00000;12.20574;
5/4/2017 5:10:00 PM;46;EIS;08:50:56.328;00:00:32.818;1;1;Pan_5pulse_EISSOC;4.05273;0.00000;-0.29002;;0.00100;6000.00000;4499.36526;2.00000;-2.00000;20.00000;10.00000;2.00000;16.00000;4.05553;21.72960;5.94794;4571.42871;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.95873;0.42556;22.52895;15.30832;0.00000;0.00000;12.20574;
5/4/2017 5:10:11 PM;46;EIS;08:51:07.464;00:00:43.954;1;1;Pan_5pulse_EISSOC;4.05337;0.00000;-0.29002;;0.00100;6000.00000;3374.04795;2.00000;-2.00000;20.00000;10.00000;3.00000;16.00000;4.05592;21.55914;4.10885;3428.57153;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.97330;0.44347;21.94719;10.79033;0.00000;0.00000;12.20574;
5/4/2017 5:10:22 PM;46;EIS;08:51:18.435;00:00:54.925;1;1;Pan_5pulse_EISSOC;4.05337;0.00000;-0.29002;;0.00100;6000.00000;2530.17902;2.00000;-2.00000;20.00000;10.00000;4.00000;16.00000;4.05878;21.57106;2.48686;2526.31567;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.98876;0.45536;21.71394;6.57641;0.00000;0.00000;12.20574;
5/4/2017 5:10:33 PM;46;EIS;08:51:29.386;00:01:05.876;1;1;Pan_5pulse_EISSOC;4.05337;0.00000;-0.29002;;0.00100;6000.00000;1897.36660;2.00000;-2.00000;20.00000;10.00000;5.00000;16.00000;4.05124;21.73752;1.21007;1882.35291;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00227;0.46036;21.77117;3.18621;0.00000;0.00000;12.20574;
5/4/2017 5:10:44 PM;46;EIS;08:51:40.423;00:01:16.913;1;1;Pan_5pulse_EISSOC;4.05337;0.00000;-0.29002;;0.00100;6000.00000;1422.82422;2.00000;-2.00000;20.00000;10.00000;6.00000;16.00000;4.05593;22.00149;0.24037;1432.83582;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.01047;0.45925;22.00280;0.62594;0.00000;0.00000;12.19453;
5/4/2017 5:10:55 PM;46;EIS;08:51:51.379;00:01:27.869;1;1;Pan_5pulse_EISSOC;4.05337;0.00000;-0.29002;;0.00100;6000.00000;1066.96765;2.00000;-2.00000;20.00000;10.00000;7.00000;16.00000;4.05558;22.37338;-0.62344;1066.66663;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.01709;0.45442;22.38207;-1.59616;0.00000;0.00000;12.19453;
5/4/2017 5:11:06 PM;46;EIS;08:52:02.591;00:01:39.081;1;1;Pan_5pulse_EISSOC;4.05337;0.00000;-0.29002;;0.00100;6000.00000;800.11286;2.00000;-2.00000;20.00000;10.00000;8.00000;16.00000;4.06095;22.81169;-1.31830;800.00000;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.02081;0.44675;22.84975;-3.30747;0.00000;0.00000;12.20574;
5/4/2017 5:11:18 PM;46;EIS;08:52:14.454;00:01:50.944;1;1;Pan_5pulse_EISSOC;4.05337;0.00000;-0.29002;;0.00100;6000.00000;600.00000;2.00000;-2.00000;20.00000;10.00000;9.00000;16.00000;4.06361;23.30818;-1.89962;600.00000;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.02337;0.43761;23.38546;-4.65932;0.00000;0.00000;12.20574;
