

Measurement ID;3576
Battery name;NCR18650PF_SN002
Battery Name;NCR
Circuit;Circ006
Program;418 - Pan_5pulse_EISSOC
Start Time;5/4/2017 8:18:56 AM
End Time;5/6/2017 11:56:52 AM
Test section;EIS00004
Comment;10degC EIS vs SOC 6kHz to 1mHz
OrderNo;
Producer; Panasonic
Type; NCR
Nominal Voltage; 3.7
Nominal Current; 0
Nominal Capacity; 2.9
Cells; 1
Maximum Voltage; 4.25
Gassing Voltage; 4.3
Break Voltage; 0
Charge Factor; 0
Impedance; 0
Cold Cranking Current; 15
Energy Density; 0
Comment;



Time Stamp;Step;Status;Prog Time;Step Time;Cycle;Cycle Level;Procedure;Voltage;Current;AhAccu;Energy;StartFreq;EndFreq;SetFreq;AAcMax;VAcMin;VAcMax;mvIdeal;Go;Status;U1;Zreal1;Zimg1;ActFreq;EisError;AACStart;MinIntervalTime;CountOfPeriods;UIdeal;AStart;MinDuration;MinPeriods;RemTime;VRelativ;AAmplitude;Betrag;Phase;ChamberT;ChamberSP;Temp45;
;;;;;;;;[V];[A];[Ah];[Wh];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[ChamberT];[ChamberSP];[C1];
5/4/2017 8:59:52 PM;46;EIS;12:40:48.110;00:00:21.836;2;1;Pan_5pulse_EISSOC;3.94142;0.00000;-0.58000;;0.00100;6000.00000;6000.00000;2.00000;-2.00000;20.00000;10.00000;1.00000;16.00000;3.94405;22.12176;8.07448;6000.00000;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.99825;0.42390;23.54930;20.05216;0.00000;0.00000;12.21695;
5/4/2017 9:00:03 PM;46;EIS;12:40:59.398;00:00:33.124;2;1;Pan_5pulse_EISSOC;3.94142;0.00000;-0.58000;;0.00100;6000.00000;4499.36526;2.00000;-2.00000;20.00000;10.00000;2.00000;16.00000;3.94404;21.78557;6.01527;4571.42871;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.95848;0.42409;22.60076;15.43550;0.00000;0.00000;12.20574;
5/4/2017 9:00:14 PM;46;EIS;12:41:10.643;00:00:44.369;2;1;Pan_5pulse_EISSOC;3.94142;0.00000;-0.58000;;0.00100;6000.00000;3374.04795;2.00000;-2.00000;20.00000;10.00000;3.00000;16.00000;3.94561;21.61197;4.16892;3428.57153;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.97295;0.44204;22.01038;10.91817;0.00000;0.00000;12.20574;
5/4/2017 9:00:25 PM;46;EIS;12:41:21.514;00:00:55.240;2;1;Pan_5pulse_EISSOC;3.94142;0.00000;-0.58000;;0.00100;6000.00000;2530.17902;2.00000;-2.00000;20.00000;10.00000;4.00000;16.00000;3.94411;21.61987;2.54549;2526.31567;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.98844;0.45405;21.76921;6.71499;0.00000;0.00000;12.20574;
5/4/2017 9:00:37 PM;46;EIS;12:41:32.893;00:01:06.619;2;1;Pan_5pulse_EISSOC;3.94142;0.00000;-0.58000;;0.00100;6000.00000;1897.36660;2.00000;-2.00000;20.00000;10.00000;5.00000;16.00000;3.94201;21.78330;1.26990;1882.35291;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00204;0.45922;21.82028;3.33639;0.00000;0.00000;12.20574;
5/4/2017 9:00:48 PM;46;EIS;12:41:43.997;00:01:17.723;2;1;Pan_5pulse_EISSOC;3.94142;0.00000;-0.58000;;0.00100;6000.00000;1422.82422;2.00000;-2.00000;20.00000;10.00000;6.00000;16.00000;3.94416;22.03924;0.30153;1432.83582;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00988;0.45818;22.04130;0.78384;0.00000;0.00000;12.20574;
5/4/2017 9:00:59 PM;46;EIS;12:41:55.074;00:01:28.800;2;1;Pan_5pulse_EISSOC;3.94142;0.00000;-0.58000;;0.00100;6000.00000;1066.96765;2.00000;-2.00000;20.00000;10.00000;7.00000;16.00000;3.94418;22.40274;-0.55589;1066.66663;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.01661;0.45365;22.40964;-1.42143;0.00000;0.00000;12.19453;
5/4/2017 9:01:10 PM;46;EIS;12:42:06.274;00:01:40.000;2;1;Pan_5pulse_EISSOC;3.94142;0.00000;-0.58000;;0.00100;6000.00000;800.11286;2.00000;-2.00000;20.00000;10.00000;8.00000;16.00000;3.93907;22.82988;-1.24287;800.00000;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.02017;0.44620;22.86368;-3.11613;0.00000;0.00000;12.20574;
5/4/2017 9:01:21 PM;46;EIS;12:42:17.622;00:01:51.348;2;1;Pan_5pulse_EISSOC;3.94142;0.00000;-0.58000;;0.00100;6000.00000;600.00000;2.00000;-2.00000;20.00000;10.00000;9.00000;16.00000;3.94382;23.31449;-1.81538;600.00000;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.02273;0.43734;23.38506;-4.45234;0.00000;0.00000;12.20574;
