

Measurement ID;3740
Battery name;NCR18650PF_SN002
Battery Name;NCR
Circuit;Circ006
Program;458 - Pan_5pulse_EIS_0dC
Start Time;6/7/2017 8:39:18 AM
End Time;1/2/1970
Test section;EIS00005
Comment;
OrderNo;
Producer; Panasonic
Type; NCR
Nominal Voltage; 3.7
Nominal Current; 0
Nominal Capacity; 2.9
Cells; 1
Maximum Voltage; 4.25
Gassing Voltage; 4.3
Break Voltage; 0
Charge Factor; 0
Impedance; 0
Cold Cranking Current; 15
Energy Density; 0
Comment;



Time Stamp;Step;Status;Prog Time;Step Time;Cycle;Cycle Level;Procedure;Voltage;Current;AhAccu;Energy;StartFreq;EndFreq;SetFreq;AAcMax;VAcMin;VAcMax;mvIdeal;Go;Status;U1;Zreal1;Zimg1;ActFreq;EisError;AACStart;MinIntervalTime;CountOfPeriods;UIdeal;AStart;MinDuration;MinPeriods;RemTime;VRelativ;AAmplitude;Betrag;Phase;ChamberT;ChamberSP;Temp45;
;;;;;;;;[V];[A];[Ah];[Wh];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[ChamberT];[ChamberSP];[C1];
6/9/2017 7:28:48 AM;51;EIS;46:49:20.166;00:00:21.262;3;1;Pan_5pulse_EIS_0dC;3.77993;0.00000;-0.87000;;0.00100;6000.00000;6000.00000;2.00000;-2.00000;20.00000;10.00000;1.00000;16.00000;3.78247;27.04010;7.59554;6000.00000;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.99253;0.35338;28.08664;15.69001;-10.00000;-10.00000;-7.50950;
6/9/2017 7:28:59 AM;51;EIS;46:49:30.893;00:00:31.989;3;1;Pan_5pulse_EIS_0dC;3.78058;0.00000;-0.87000;;0.00100;6000.00000;4499.36526;2.00000;-2.00000;20.00000;10.00000;2.00000;16.00000;3.78240;26.82938;5.39457;4571.42871;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.97296;0.35553;27.36635;11.36885;-10.00000;-10.00000;-7.50950;
6/9/2017 7:29:09 AM;51;EIS;46:49:41.478;00:00:42.574;3;1;Pan_5pulse_EIS_0dC;3.78058;0.00000;-0.87000;;0.00100;6000.00000;3374.04795;2.00000;-2.00000;20.00000;10.00000;3.00000;16.00000;3.78460;26.78918;3.39345;3428.57153;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.98571;0.36503;27.00326;7.21935;-10.00000;-10.00000;-7.49829;
6/9/2017 7:29:20 AM;51;EIS;46:49:52.070;00:00:53.166;3;1;Pan_5pulse_EIS_0dC;3.78058;0.00000;-0.87000;;0.00100;6000.00000;2530.17902;2.00000;-2.00000;20.00000;10.00000;4.00000;16.00000;3.78370;26.94720;1.59185;2526.31567;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.98571;0.37005;26.99418;3.38071;-10.00000;-10.00000;-7.49829;
6/9/2017 7:29:30 AM;51;EIS;46:50:02.656;00:01:03.752;3;1;Pan_5pulse_EIS_0dC;3.78058;0.00000;-0.87000;;0.00100;6000.00000;1897.36660;2.00000;-2.00000;20.00000;10.00000;5.00000;16.00000;3.77839;27.27428;0.12913;1882.35291;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00992;0.37028;27.27458;0.27127;-10.00000;-10.00000;-7.50950;
6/9/2017 7:29:41 AM;51;EIS;46:50:13.379;00:01:14.475;3;1;Pan_5pulse_EIS_0dC;3.78058;0.00000;-0.87000;;0.00100;6000.00000;1422.82422;2.00000;-2.00000;20.00000;10.00000;6.00000;16.00000;3.78266;27.70297;-1.03471;1432.83582;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.01612;0.36653;27.72229;-2.13901;-10.00000;-10.00000;-7.50950;
6/9/2017 7:29:52 AM;51;EIS;46:50:24.098;00:01:25.194;3;1;Pan_5pulse_EIS_0dC;3.78058;0.00000;-0.87000;;0.00100;6000.00000;1066.96765;2.00000;-2.00000;20.00000;10.00000;7.00000;16.00000;3.77837;28.28245;-2.13221;1066.66663;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.02288;0.36064;28.36271;-4.31136;-10.00000;-10.00000;-7.49829;
6/9/2017 7:30:03 AM;51;EIS;46:50:34.981;00:01:36.077;3;1;Pan_5pulse_EIS_0dC;3.78058;0.00000;-0.87000;;0.00100;6000.00000;800.11286;2.00000;-2.00000;20.00000;10.00000;8.00000;16.00000;3.79030;28.96131;-3.08940;800.00000;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.02682;0.35255;29.12562;-6.08890;-10.00000;-10.00000;-7.49829;
6/9/2017 7:30:14 AM;51;EIS;46:50:45.966;00:01:47.062;3;1;Pan_5pulse_EIS_0dC;3.78058;0.00000;-0.87000;;0.00100;6000.00000;600.00000;2.00000;-2.00000;20.00000;10.00000;9.00000;16.00000;3.78288;29.74167;-3.97281;600.00000;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.03015;0.34332;30.00583;-7.60837;-10.00000;-10.00000;-7.49829;
6/9/2017 7:30:25 AM;51;EIS;46:50:57.161;00:01:58.257;3;1;Pan_5pulse_EIS_0dC;3.78058;0.00000;-0.87000;;0.00100;6000.00000;449.93653;2.00000;-2.00000;20.00000;10.00000;10.00000;16.00000;3.77432;30.62586;-4.80468;450.70422;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.03298;0.33321;31.00045;-8.91607;-10.00000;-10.00000;-7.49829;
6/9/2017 7:30:36 AM;51;EIS;46:51:08.549;00:02:09.645;3;1;Pan_5pulse_EIS_0dC;3.78058;0.00000;-0.87000;;0.00100;6000.00000;337.40480;2.00000;-2.00000;20.00000;10.00000;11.00000;16.00000;3.78303;31.64431;-5.62593;336.84210;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.03663;0.32253;32.14053;-10.08108;-10.00000;-10.00000;-7.49829;
6/9/2017 7:30:48 AM;51;EIS;46:51:20.249;00:02:21.345;3;1;Pan_5pulse_EIS_0dC;3.78122;0.00000;-0.87000;;0.00100;6000.00000;253.01790;2.00000;-2.00000;20.00000;10.00000;12.00000;16.00000;3.79278;32.76691;-6.42253;253.29816;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.03870;0.31108;33.39041;-11.08976;-10.00000;-10.00000;-7.49829;
6/9/2017 7:31:00 AM;51;EIS;46:51:32.402;00:02:33.498;3;1;Pan_5pulse_EIS_0dC;3.78122;0.00000;-0.87000;;0.00100;6000.00000;189.73666;2.00000;-2.00000;20.00000;10.00000;13.00000;16.00000;3.78378;34.03351;-7.22436;189.72333;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.04283;0.29973;34.79183;-11.98440;-10.00000;-10.00000;-7.49829;
6/9/2017 7:31:12 AM;51;EIS;46:51:43.970;00:02:45.066;3;1;Pan_5pulse_EIS_0dC;3.78122;0.00000;-0.87000;;0.00100;6000.00000;142.28242;2.00000;-2.00000;20.00000;10.00000;14.00000;16.00000;3.79076;35.42629;-8.02075;142.43323;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.04342;0.28726;36.32292;-12.75708;-10.00000;-10.00000;-7.50950;
